n00004475	有机体，生物
n03115400	棉绒布
n03115663	纺织厂
n03115762	诊察台
n03115897	涂层，涂底
n03116008	卧铺车厢
n03116163	折轴望远镜
n03116530	柜台
n03116767	计数器
n03117199	筹码
n03117642	埋头孔，扩孔，镗孔
n03118346	计数管
n03118969	乡舍，乡间别墅，郊区住宅
n03119203	乡村商店，乡村杂货店
n03119396	小轿车
n03119510	耦合器，联合器，联接器，连接器
n03120198	天井，庭院，院子
n03120491	球场
n03120778	法庭
n03121040	宫廷，王宫
n03121190	考特尔
n03121298	法庭，法院，法院大楼
n03121431	县政府大楼
n03121897	工作服
n03122073	有盖桥，有顶盖的桥，棚桥
n03122202	轿子
n03122295	大篷车，有帆布篷顶的大马车，有篷大马车，篷车
n03122748	覆盖物
n03123553	床罩，被单
n03123666	盖板
n03123809	牛房，牛舍
n03123917	牛铃
n03124043	牛仔靴
n03124170	牛仔帽
n03124313	牛皮鞭
n03124474	头巾，蒙头斗篷，长袍
n03124590	牛栏
n03125057	中央处理器
n03125588	crackle, crackleware, crackle china
n03125729	摇篮
n03125870	航空器，船，飞机，飞船，飞艇
n03126090	铁箍
n03126385	尖铁钉，攀登用鞋底钉，鞋底钉
n03126580	起重吊钩
n03126707	吊车，起重机
n03126927	头盖测量器，颅测量器
n03127024	曲柄
n03127203	曲轴箱
n03127408	曲柄轴，曲轴，机轴
n03127531	防撞护栏
n03127747	安全帽，防撞头盔
n03127925	大板条箱
n03128085	饰带
n03128248	蜡笔
n03128427	百衲被
n03128519	油膏，润肤剂，软膏，面霜
n03129001	cream pitcher, creamer
n03129471	孤儿院
n03129636	creche
n03129753	碗橱，餐具柜
n03129848	柳条篮
n03130066	火葬场，焚尸炉
n03130233	火葬场
n03130563	绉呢，绉纱，绉绸，绉胶
n03130761	双绉，广东绉纱
n03130866	crescent wrench
n03131193	印花棉布，大花窗帘棉布
n03131574	有栏小卧床
n03131669	crib
n03131967	板球
n03132076	板球棒
n03132261	板球设备
n03132438	金属圈
n03132666	硬衬布
n03132776	硬衬布衬裙，衬裙
n03133050	钩针
n03133415	瓦罐
n03133878	克罗克电锅
n03134118	牧羊杖
n03134232	Crookes radiometer
n03134394	Crookes tube
n03134739	槌球
n03134853	槌球设备
n03135030	槌棒，槌球棒，门球杆
n03135532	十字架
n03135656	横木，横梁
n03135788	横木
n03135917	闩
n03136051	中立议员席
n03136254	十字形钻头
n03136369	弩
n03136504	横割锯
n03137473	crossjack, mizzen course
n03137579	横杆，横档，横梁
n03138128	小钩
n03138217	croupier's rake
n03138344	铁橇
n03138669	王冠
n03139089	齿冠
n03139464	御宝
n03139640	冕玻璃透镜
n03139998	桅杆暸望台
n03140126	坩埚，熔罐
n03140292	十字架
n03140431	调味瓶
n03140546	五味瓶架
n03140652	巡航定速，自动巡航，速度控制，速度控制器
n03140771	巡航导弹
n03140900	巡洋舰
n03141065	警察巡逻车，警车
n03141327	巡游班轮，游船
n03141455	牵鞍兜带
n03141612	壶，罐
n03141702	crusher
n03141823	拐杖
n03142099	低温计
n03142205	低温测定器，冰点测定器
n03142325	低温保持器
n03142431	土窖，地穴，地窖
n03142679	表面玻璃
n03143400	晶体检波器
n03143572	晶体传声器
n03143754	晶体振荡器
n03144156	crystal set
n03144873	护肘
n03144982	马桶椅
n03145147	布谷鸟钟
n03145277	船室兼厨房
n03145384	棍棒
n03145522	球杆
n03145719	主球，母球，白球
n03145843	翻折部分，袖口
n03146219	上半身铠甲，胸甲，胸铠
n03146342	护腿甲，腿甲
n03146449	尽头，末路，死胡同
n03146560	后穹窿镜，后陷凹镜，陷凹镜
n03146687	天沟，屋檐排水槽，排水天沟，滑槽板
n03146777	女用裙裤
n03146846	耕田机
n03147084	火枪
n03147156	重炮，长炮
n03147280	涵洞
n03147509	杯，杯子
n03148324	柜，柜子，橱柜，碗柜
n03148518	丝杆吊钩
n03148727	穹顶
n03148808	冲天炉，化铁炉，融铁炉
n03149135	马嚼子
n03149401	复折形屋顶
n03149686	路缘石
n03149810	刮匙
n03150232	卷发筒
n03150511	卷发钳
n03150661	马梳
n03150795	光标
n03151077	帘子，窗帘
n03152303	海关
n03152951	剖面图
n03153246	弯刀，短剑，短弯刀
n03153585	截止阀，断流器
n03153948	断流器
n03154073	切割器
n03154316	独桅纵帆船
n03154446	切割工具
n03154616	剪接室
n03154745	忏悔凳，矮凳
n03154895	挖花刺绣，空花绣，雕空绣，雕绣
n03155178	网吧
n03155502	巨石工程，蛮石圬工
n03155915	cyclostyle
n03156071	回旋加速器
n03156279	汽缸
n03156405	缸
n03156767	圆筒销子锁
n03157348	钹，铙钹
n03158186	俄国的乡间邸宅，达恰
n03158414	涤纶
n03158668	墩身
n03158796	开槽刨
n03158885	匕首，短刀，短剑
n03159535	乳品厂，乳牛场，牛奶厂
n03159640	讲台
n03160001	雏菊打印车轮
n03160186	菊花轮打印机
n03160309	坝，堤坝，堰，水坝
n03160740	缎子，花布，花缎，锦锻
n03161016	湿润器
n03161450	阻尼器
n03161893	闸板砖
n03162297	暗灯，遮光提灯
n03162460	暗室
n03162556	织补针
n03162714	捏褶，缝合摺
n03162818	标枪，飞镖
n03163222	仪表板，仪表盘，汽车仪表
n03163381	大席吉装
n03163488	减震器
n03163798	数据变换器
n03163973	数据输入装置
n03164192	data multiplexer
n03164344	信息系统
n03164605	坐卧两用沙发，坐卧两用的长沙发
n03164722	写字台，小书桌
n03164929	吊杆，吊架，吊柱，吊艇杆，吊艇架，吊艇柱
n03165096	daybed, divan bed
n03165211	总帐，日记簿
n03165466	日间托儿所
n03165616	无宿舍学校
n03165823	不转轴，静轴
n03165955	三孔滑车，三眼木盘
n03166120	空车
n03166514	deanery
n03166600	临终床，临终时睡的床，人死时躺的床
n03166685	死亡集中营
n03166809	死牢
n03166951	丧钟，死亡丧钟
n03167153	死亡座，死亡座位
n03167978	一包毒品
n03168107	甲板
n03168217	甲板躺椅
n03168543	舱面室
n03168663	定边装置
n03168774	毛边
n03168933	declinometer, transit declinometer
n03169063	解码器，译码器
n03169176	低领
n03170292	剪纸工艺，剪纸装饰
n03170459	dedicated file server
n03170635	冰箱，冷冻室，冷藏箱
n03170872	猎鹿帽
n03171228	防御体系
n03171356	防御组织
n03171635	去纤颤器，自动减颤器，除颤器
n03171910	堡垒，遮蔽物
n03172038	变流装置，导流板
n03172738	延时器
n03172965	延迟线
n03173270	代尔夫特精陶，台夫特陶器
n03173387	熟食店
n03173929	delivery truck, delivery van, panel truck
n03174079	delta wing
n03174450	坛，细颈大坛
n03174731	小型咖啡杯
n03175081	den
n03175189	粗斜棉布
n03175301	密度计，比重计
n03175457	密度计
n03175604	假牙
n03175843	牙线
n03175983	假牙
n03176238	牙钻
n03176386	假牙
n03176594	体香剂，防臭剂，除臭剂，除臭药
n03176763	大百货店，百货公司，百货商场，百货商店
n03177059	候车室
n03177165	脱发剂，脱毛剂，除毛剂
n03177708	压板
n03178000	测深仪
n03178173	深度计
n03178430	起重机
n03178538	钻井架，钻塔，钻架
n03178674	德林加枪，迪林格手枪
n03179701	书桌，工作台，桌子
n03179910	台式电话
n03180011	台式电脑，桌上型电脑
n03180384	点心用匙，甜品匙，甜点心匙
n03180504	驱逐舰
n03180732	护航驱逐舰
n03180865	独立式住宅
n03180969	传感器
n03181293	探测器，检测器
n03181667	拘留所
n03182140	引爆信管
n03182232	雷管
n03182912	显影装置
n03183080	发明物，装置
n03185868	德瓦烧瓶
n03186199	印度腰带，腰布
n03186285	独桅三角帆船
n03186818	拨号盘，电话拨号盘
n03187037	刻度盘
n03187153	调谐钮
n03187268	对话框
n03187595	自动电话
n03187751	渗析器，滤膜分析器，透析器
n03188290	diamante
n03188531	尿布
n03188725	尿布
n03188871	雾笛
n03189083	光圈快门
n03189311	振动板
n03189818	电热疗机，电疗机
n03190458	挖洞器，挖穴器
n03191286	骰盅
n03191451	切丁器
n03191561	衬衫的胸襟，衬衫的胸部
n03191776	后座
n03192543	口授留声机，口述录音机，录音机，录音电话机
n03192907	铆头模
n03193107	柴油，柴油机
n03193260	diesel-electric locomotive, diesel-electric
n03193423	diesel-hydraulic locomotive, diesel-hydraulic
n03193597	内燃机车
n03193754	板牙铰手
n03194170	微分分析器
n03194297	差动齿轮
n03194812	均匀散射灯
n03194992	扬声器
n03195332	煮解器，蒸煮器
n03195485	寄宿处
n03195799	数模转换器
n03195959	数字录音带
n03196062	数码照相机，数码相机
n03196217	digital clock
n03196324	数字计算机
n03196598	数码显示器
n03196990	数字用户线
n03197201	数字电压表
n03197337	数字表
n03197446	数字化转换器，数字转换器
n03198223	扩张器
n03198500	假阴茎，按摩棒，阴茎替代物
n03199358	凸纹条格，凸花条纹布，麻纱
n03199488	调光器
n03199647	餐车饭店
n03199775	dinette
n03199901	划艇，小舟
n03200231	用餐区域
n03200357	餐车
n03200539	食堂
n03200701	餐厅，饭厅
n03200906	dining-room furniture
n03201035	dining-room table
n03201208	餐桌，饭桌
n03201529	吃饭的铃声
n03201638	女夜礼服，晚宴服
n03201776	无尾礼服，男士半正式晚礼服
n03201895	餐巾
n03201996	饭盒
n03202354	餐桌
n03202481	餐厅剧场，餐馆剧院
n03202760	二极管，半导体二极管
n03202940	电子二极管
n03203089	蜡烛
n03203806	领事馆
n03204134	偶极天线
n03204306	舀水的用具，长柄勺，长柄杯
n03204436	测深尺，浸量尺，量杆，量油尺，量油计
n03204558	程式开关
n03204955	定向天线
n03205143	directional microphone
n03205304	无线电测向仪
n03205458	匕首，短剑
n03205574	紧身连衫裙式的女服
n03205669	dirndl
n03205903	原子弹
n03206023	放电灯
n03206158	放出管
n03206282	以唱片伴奏的小舞厅，迪厅，迪斯科，迪斯科舞厅
n03206405	廉价零售商
n03206602	铁饼
n03206718	伪装，伪装物，伪装衣
n03206908	盘，盘子，碟子
n03207305	截抛物面天线，抛物面天线
n03207548	洗碟用盆子，洗碟盆
n03207630	碗碟架
n03207743	刷碗布，洗碟布
n03207835	干抹布，茶巾
n03207941	洗碗机，洗碟机
n03208556	光盘，圆盘，磁盘
n03208938	盘式制动器
n03209359	圆盘离合器
n03209477	磁盘控制器
n03209666	磁盘机，磁盘驱动器
n03209910	磁盘，磁碟，软盘
n03210245	圆盘耙
n03210372	公文箱
n03210552	医务室
n03210683	分配者，药剂师
n03211117	指示器，显示器
n03211413	显示适配部件
n03211616	显示板
n03211789	橱窗
n03212114	垃圾处理器，搅碎机，污物碾碎器
n03212247	炸药
n03212406	纺纱杆
n03212811	蒸馏酒厂
n03213014	配电盘
n03213361	分电器凸轮
n03213538	分电器盖
n03213715	分电器外壳
n03213826	断电触点
n03214253	排水沟，水沟，沟渠，渠
n03214450	铁锹
n03214582	ditty bag
n03214966	沙发床，长沙发
n03215076	divan, diwan
n03215191	俯冲轰炸
n03215337	凹透镜，发散透镜
n03215508	双面通车公路
n03215749	divider
n03215930	潜水钟
n03216199	占卜杖，探水杖，探矿杖
n03216402	潜水服
n03216562	露营用大锅
n03216710	纸杯
n03216828	停泊处，码头
n03217653	驼丝绵，驼丝锦
n03217739	狗拉的小车
n03217889	食物袋
n03218198	狗拖的雪橇
n03218446	长把管钳
n03219010	小型装饰桌巾
n03219135	娃娃，洋娃娃，玩偶
n03219483	小房子
n03219612	台车，小轮搬运车，手推车
n03219859	dolman
n03219966	dolman, dolman jacket
n03220095	蝙蝠袖
n03220237	石棚
n03220513	圆屋顶，拱顶
n03220692	室内体育馆
n03221059	面具
n03221351	保护锁
n03221540	防雨工作服
n03221720	门
n03222176	户，间
n03222318	door
n03222516	门铃
n03222722	门框
n03222857	门柱
n03223162	门锁
n03223299	门口地垫，门垫，门毯
n03223441	大头钉，护门帽钉，门钉
n03223553	门牌
n03223686	入口，门槛，门阶
n03223923	制门器
n03224490	Doppler radar
n03224603	天窗
n03224753	老虎窗
n03224893	学生宿舍，宿舍，集体寝室
n03225108	大寝室
n03225458	剂量仪，剂量计
n03225616	幔布
n03225777	点阵式打印机，点阵打印机
n03225988	双人床
n03226090	双刃斧
n03226254	双层蒸锅
n03226375	双排扣上衣
n03226538	双排扣西服
n03226880	双扇门
n03227010	双层玻璃窗
n03227184	双悬窗
n03227317	双面针织物
n03227721	倍压器，倍增器，倍频器
n03227856	double reed
n03228016	双簧，双簧乐器
n03228254	doublet
n03228365	双驾横木
n03228533	冲洗器，灌洗器
n03228692	鸽房，鸽棚
n03228796	多佛尔药粉
n03228967	鸽尾结合
n03229115	燕尾形槽刨
n03229244	暗榫
n03229526	downstage
n03231160	绘图仪器
n03231368	绘图桌
n03231819	反铲，狙击枪
n03232309	排水沟
n03232417	排水系统
n03232543	drain basket
n03232815	放泄塞
n03232923	消毒盖布
n03233123	drapery
n03233624	drawbar
n03233744	升降吊桥，吊桥
n03233905	抽屉
n03234164	四角裤，平角裤，衬裤，裤衩
n03234952	画笔
n03235042	客厅
n03235180	起居室
n03235327	拉刮刀
n03235796	松紧带袋子
n03235979	载货马车，运货马车
n03236093	无畏级战舰
n03236217	挖泥机
n03236423	挖泥船
n03236580	挖泥桶
n03236735	女服，女裙衫，连衣裙
n03237212	统一的服装
n03237340	带架子的橱柜
n03237416	大礼帽，礼帽，高顶丝质礼帽
n03237639	敷料
n03237839	化妆盒
n03237992	晨服，晨衣
n03238131	更衣室
n03238286	宽大上衣
n03238586	化妆台
n03238762	衣架
n03238879	晚礼服衬衫
n03239054	燕尾服，男式夜礼服
n03239259	军装
n03239607	流网，漂网
n03239726	钻，钻头
n03240140	电钻
n03240683	钻探平台
n03240892	drill press
n03241093	石油钻台，石油钻塔
n03241335	喷泉式饮水器，饮水机
n03241496	饮水器
n03241903	滴水圈
n03242120	滴水垫
n03242264	承屑盘，接水盘，接油盘
n03242390	油滴盘
n03242506	气体分液罐
n03242995	传动装置，驱动机构
n03243218	磁盘，驱动器
n03243625	传动系统，传动线
n03244047	高尔夫球棒
n03244231	传动轴，驱动轴
n03244388	专用支路，私人车道，车道
n03244775	1号铁杆
n03244919	主动轮
n03245271	刹车伞
n03245421	启动伞
n03245724	低音部音塞
n03245889	无人飞机，无人驾驶飞机
n03246197	垂拱，平圆拱，扁拱，矮矢拱
n03246312	罩单
n03246454	垂幕
n03246653	落锤
n03246933	drop-leaf table
n03247083	点滴器
n03247351	敞篷低座四轮马车，无顶四轮马车
n03247495	阔凿
n03248835	粗毛毯
n03249342	药店，药房
n03249569	膜质乐器，膜鸣乐器
n03249956	圆桶
n03250089	鼓式制动器
n03250279	鼓面
n03250405	鼓式打印机
n03250588	辊式砂光机
n03250847	鼓槌
n03250952	干电池
n03251100	干球温度计
n03251280	乾电池，干电池
n03251533	干船坞
n03251766	干燥机
n03251932	假蝇，假饵
n03252231	干燥窑
n03252324	干砌石土
n03252422	铜版雕刻法
n03252637	清水墙
n03252787	双扫描显示器
n03253071	帆布
n03253187	挡雪板，铺道板
n03253279	鸭柱
n03253714	短柄陶烟斗
n03253796	一种粗呢，粗厚起绒呢料
n03253886	行李袋
n03254046	duffel coat, duffle coat
n03254189	球员休息处，球员席
n03254374	独木舟
n03254625	dulciana
n03254737	洋琴
n03254862	洋琴
n03255030	哑铃
n03255167	自由下落炸弹，重力炸弹
n03255322	升降机
n03255488	达姆弹
n03255899	垃圾车
n03256032	一种大垃圾桶，垃圾大铁桶，大型垃圾装卸卡车，盛垃圾容器，邓普斯特尔罐
n03256166	自倾货车，自动倾卸卡车，自动式倾卸汽车
n03256472	定镜水准仪
n03256631	高帽
n03256788	沙丘汽车
n03256928	土牢，地牢
n03257065	二联式公寓，复式公寓
n03257210	复式房子，联式房屋
n03257586	复印机
n03258192	集尘袋
n03258330	抹布，防尘布
n03258456	防尘罩
n03258577	防尘罩
n03258905	墩布
n03259009	垃圾铲，畚箕，簸箕
n03259280	荷兰烘箱
n03259401	荷兰炖锅
n03259505	住处，住宅，住所
n03260206	染色工厂
n03260504	发电机
n03260733	功率计，电功率计
n03260849	埃姆斯椅
n03261019	帽耳，耳扇，耳罩
n03261263	远程警戒雷达
n03261395	预警系统
n03261603	御寒耳罩，耳套
n03261776	受话器，耳机
n03262072	耳塞，耳栓
n03262248	earplug
n03262519	陶器
n03262717	土木工事，土木工程
n03262809	画架，黑板架
n03262932	安乐椅
n03263076	屋檐，房檐，檐
n03263338	教会服装
n03263640	钟形圆饰
n03263758	心回波仪，超声波心动仪
n03264906	修边器
n03265032	利器
n03265754	公寓小套间
n03266195	egg-and-dart, egg-and-anchor, egg-and-tongue
n03266371	打蛋器，搅蛋器
n03266620	煮蛋计时器
n03266749	凫绒垫，羽绒被
n03267113	8号黑球
n03267468	弹射座椅
n03267696	弹性织品
n03267821	弹性绷带
n03268142	弹性绷带
n03268311	短袖
n03268645	护肘
n03268790	电动车，电车
n03268918	电缆
n03269073	电气插头
n03269203	电转换器
n03269401	电力设备
